,Name,Rating,Style,Blend,Vintage,Appellation,ABV,Price,Reviewed By,Reviewed,Perfect For,Drink If You Like,Review,image,link,Variety,Review Updated
86,Jefferson Vineyards Cabernet Franc 2017,"91
2020 Top 50",Red,,2017,VirginiaUSA,13%,$28.00,Keith Beavers,,"Cold Weather Hibernation,Dinner Parties,Picnics In The Park","Cabernet Franc, Merlot , Syrah / Shiraz","Wow, this is an awesome Virginia wine. It has a soft, earthy fruit core and smells like cooked meat and cracked black pepper, as well as brambly blackberries. This is the kind of wine you can slightly chill in the warm months and cozy up to at room temperature as the leaves turn in the fall.",https://vinepair.com/wp-content/uploads/2020/11/top50wine_card_jeffersonvineyardcabernetfrant.jpg,https://vinepair.com/review/jefferson-vineyards-cabernet-franc/,Cabernet Franc,2020-11-23
87,Cuvaison Estate Pinot Noir 2019,95,Red,,2019,Carneros (Napa)Napa Valley Napa County North Coast California USA,14.4%,$42.00,Keith Beavers,2022-03-02,"Host/Hostess Gifting,Treat Yo'self,Winter White Wine Drinking","Dolcetto, Merlot , Pinot Noir","Carneros is the coolest region in the the Napa Valley enjoying the cool climate form the San Pablos Bay to the south. Pinot Noir from here has a unique character when done well. Like this bottle right here. It's a sunny place, coaxing the grapes to ripen at a steady pace while the natural sugars are moderated by that cool breeze. The result is this beautiful Pinot that has earth first folding into cherries on the nose. The palate has good acidity but allows the core of fruit to take center stage giving the wine a wonderful depth. Great for a legit cheese plate.",https://vinepair.com/wp-content/uploads/2022/02/btbpinotnoir_card_cuvaison.jpg,https://vinepair.com/review/cuvaison-estate-pinot-noir/,Pinot Noir,
88,Bruno Paillard Première Cuvée NV,96,White,"Pinot Noir, Chardonnay, Pinot Meunier",NV,ChampagneFrance,12%,$54.00,Tim McKirdy,2020-12-09,"Date Night,Popping Bottles,Treat Yo'self","Chardonnay, Sparkling Wine","Half of the Bruno Paillard Première Cuvée comes from a reserve wine, a blend of 25 vintages that were first composed in 1985. The sparkling wine includes grapes from more than 30 of Champagne’s 320 crus and is considered a very personal interpretation of the whole region. With less than six grams of sugar per liter, the Première Cuvée is an extra brut bottling. This bottle is focused, with piercing acidity and layers of citrus. Hints of brioche and nuts add a flavorful evolution while an incredible refreshing character drives throughout. Pair with anything you’re craving but for a flavorful experience, try with crispy, fried foods.",https://vinepair.com/wp-content/uploads/2020/12/btb_champagne_card_brunopaillard.jpg,https://vinepair.com/review/bruno-paillard-premiere-cuvee/,,
89,Saget La Petite Perriere Sauvignon Blanc 2019,88,White,,2019,France,12.5%,$11.00,Keith Beavers,,"All-Day Sipping,Impressing On A Budget,Picnics In The Park","Pinot Gris / Grigio, Sauvignon Blanc , Assyrtiko","This is a ripe, bone dry, and peppery white wine. If you like Sancerre, you get those vibes here for under $15. It’s not crazy complex, but it will be a good bottle by your side for a casual picnic lunch.",https://vinepair.com/wp-content/uploads/2021/02/winereview_card_sagetlapetiteperriere_sauvignonblanc.jpg,https://vinepair.com/review/saget-la-petite-perriere-sauvignon-blanc/,Sauvignon Blanc,2021-02-11
90,Tangent Paragon Vineyard Sauvignon Blanc 2019,88,White,,2019,Edna ValleyCentral Coast California USA,13.8%,$15.00,Keith Beavers,,"Impressing On A Budget,Popping Bottles,Summer Sipping","Pinot Gris / Grigio, Sauvignon Blanc , Verdejo","This is a great Savvy B on the cheap. It has nice, big, juicy fruit vibes with frothy acidity winding through keeping things refreshing. It smells like a fruit salad with a hint of pepper. This is a legit summer day, everyday. bring-along-to-any-occasion wine.",https://vinepair.com/wp-content/uploads/2021/08/btbsauvignonblanc_tangentparagonvineyardsauvignonblanc2019_card.jpg,https://vinepair.com/review/tangent-paragon-vineyard-sauvignon-blanc/,Sauvignon Blanc,2021-08-10
91,Balletto Pinot Noir 2018,89,Red,,2018,Russian River ValleySonoma County North Coast California USA,13.9%,$26.00,Keith Beavers,,"Pleasing A Crowd,Weekday Dinner Pairings,Wine And Cheese Night","Gamay, Pinot Noir , Sangiovese","Soft and chewy with great acidity, this is a classic Pinot from this region. It smells like cherries and soil, with a nice, full mouthfeel. It is very balanced and easy to sip. I would just hang with a plate of local cheeses with this bottle.",https://vinepair.com/wp-content/uploads/2020/11/balletopinotnoir_card.jpg,https://vinepair.com/review/balletto-pinot-noir/,Pinot Noir,2020-11-23
92,Bouchaine Estate Pinot Gris 2019,93,White,,2019,Carneros (Napa)Napa Valley Napa County North Coast California USA,13.5%,$36.00,Keith Beavers,2022-07-26,"Dinner Parties,Drinking Outside the Lines,Wine And Cheese Night","Pinot Gris / Grigio, Sauvignon Blanc , Trebbiano (Ugni Blanc)","When Gerret and Tatiana Copeland took over this estate, it had already seen decades of wine history. They embarked on a project, revitalizing the property and bringing it back to its vine-growing, winemaking glory. You can feel this in their Pinot Gris. It is an absolutely wonderful representation of the depth that can be achieved with this variety. It is soft and deep on the nose and palate. There is a heady, herbal note that swims around the heat of the alcohol, which adds a welcome layer of complexity. The acidity and fruit depth play well together, balancing each other to give this wine structure. A great wine from the coolest region in Napa.",https://vinepair.com/wp-content/uploads/2022/07/btb-best-pinot-grigio-card-Bouchaine-Estate-Pinot-Gris.jpg,https://vinepair.com/review/bouchaine-estate-pinot-gris/,Pinot Gris / Grigio,
93,Gary Farrell Russian River Selection Pinot Noir 2018,92,Red,,2018,Russian River ValleySonoma County North Coast California USA,13.9%,$38.00,Keith Beavers,2021-01-26,"Dinner With The Parents,End of Day Sipping,Wine And Cheese Night","Merlot, Pinot Noir , Syrah / Shiraz","Soft, supple, rich and balanced just like a Pinot from this region should be. It smells like cherries and balsamic with a skosh of soil. The acidity is just right allowing the mouthfeel to be a bit chewy. This is a very satisfying wine.",https://vinepair.com/wp-content/uploads/2021/01/winereview_card_garyfarrell_russianriver_selectionpinotnoir.jpg,https://vinepair.com/review/gary-farrell-russian-river-selection-pinot-noir-2018/,Pinot Noir,
94,Charles Krug Winery Carneros Chardonnay 2019,88,White,,2019,Carneros (Napa)Napa Valley Napa County North Coast California USA,14.2%,$21.00,Keith Beavers,2022-05-13,"All-Day Sipping,Cooking And Sipping,Dinner Parties","Albariño, Chardonnay , Chenin Blanc","Charles Krug was the United States' first real winemaking consultant in the 19th century. He was an integral part of the development of the wine industry of Sonoma, which would then work its way into the Napa Valley. The winery is still making wine today and Charles would be proud of this Chardonnay. It’s extremely affordable and has an easy fruit forward nose with a nice hint of saline (salt) that brightens the senses. The palate is clean and crisp with, not a big dollop of oak, but a good balance between wood, fruit and acidity. This is a great wine to have laying around for a lazy weekend with friends.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-charles-krug.jpg,https://vinepair.com/review/charles-krug-winery-carneros-chardonnay/,Chardonnay,
95,Perrier-Jouet Belle Epoque - Fleur de Champagne Millesime Brut 2012,"94
2020 Top 50",Sparkling White,"Chardonnay, Pinot Noir",2012,ChampagneFrance,12.5%,$174.00,Keith Beavers,,"Special Occasion Splurges,Treat Yo'self,Wine And Cheese Night","Chardonnay, Chenin Blanc , Pinot Noir","Smells like creamy lemon curd and crusty sourdough. This is a well-made, very drinkable Champagne. The bubbles are soft and welcoming and lift the creamy and citrus notes into harmony. Definitely worthy of your next celebration.",https://vinepair.com/wp-content/uploads/2020/11/top50wine_card_perrierjouetbrut.jpg,https://vinepair.com/review/perrier-jouet-belle-epoque-fleur-de-champagne-millesime-brut/,,2020-11-23
96,Standing Stone Vineyards Timeline Dry Riesling 2019,89,White,,2019,Seneca Lake,12%,$24.00,Katie Brown,2021-11-10,"Holiday Meals,Pleasing A Crowd,Spicy Pairings","Muscat / Moscato, Pinot Gris / Grigio , Riesling","While some Rieslings can be saccharine, this is a balanced wine that's kept in check by zesty acidity. Flavors of wet stone, citrus, and ripe pear, intertwine in this slightly effervescent bottling.",https://vinepair.com/wp-content/uploads/2021/11/btbthanksgivingwine_card_standingstone.jpg,https://vinepair.com/review/standing-stone-vineyards-timeline-dry-riesling/,Riesling,
97,Zuccardi Valle de Uco Fosil Chardonnay 2020,90,White,,2020,Uco ValleyMendoza Argentina,13.5%,$65.00,Keith Beavers,2022-05-13,"Drinking Outside the Lines,Taco Tuesday,Treat Yo'self","Albariño, Chardonnay , Chenin Blanc","The Uco Valley in Argentina is a high desert with terrible soil, which is great for wine! Sebastian Zuccardi is a wizard with wine and he is a true steward of the land under vine for his family's winery. This is their Fosil Chardonnay that is unoaked and steely awesome. The wine is sharp on the nose with wafts of chalky earth. The fruit is minimal but that is just fine. Because this wine has the right amount of depth to handle its sharp angles. This wine with empanadas might just floor you.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-fosil.jpg,https://vinepair.com/review/zuccardi-valle-de-uco-fosil-chardonnay/,Chardonnay,
98,Teutonic Wine Company Pinot Gris 2018,"92
2021 Top 50",White,,2018,Willamette ValleyOregon USA,11.4%,$30.00,Keith Beavers,,"Drinking Outside the Lines,Sounding Like A Wine Pro,Treat Yo'self","Chardonnay, Grüner Veltliner , Pinot Gris / Grigio","This wine is so balanced and refreshing. It has a since slight depth, with a vibrant acidity balancing everything. The fruit is balanced, the palate is balanced, and the nose is balanced. It’s a pleasure to drink and is a great representation of this grape in this region.",https://vinepair.com/wp-content/uploads/2021/11/50-best-wines-2021_card_wine-6.jpg,https://vinepair.com/review/teutonic-wine-company-pinot-gris/,Pinot Gris / Grigio,2021-11-17
99,Aniello 006 Riverside Estate Pinot Noir 2019,89,Red,,2019,PatagoniaArgentina,13.5%,$17.00,Keith Beavers,2022-03-02,"Dinner Parties,Weekday Dinner Pairings,Wine And Cheese Night","Gamay, Merlot , Pinot Noir","Argentina is mostly known for its Malbec but south of Mendoza in Patagonia, Pinot Noir is steadily gaining in popularity. If you haven't tried Pinot from here this bottle is a good starting point. It's juicy with some cherry vibes with awesome active acidity keeping things light. It's not a very complex wine but a very solid weeknight wine (not easy to find with this grape.",https://vinepair.com/wp-content/uploads/2022/02/btbpinotnoir_card_aniello.jpg,https://vinepair.com/review/aniello-006-riverside-estate-pinot-noir/,Pinot Noir,
100,Chateau Meyney 2014,97,Red,,2014,Saint-EstèpheMédoc Bordeaux France,14%,$50.00,Keith Beavers,2021-11-22,"Date Night,Dinner Parties,Dinner With The Parents","Cabernet Sauvignon, Merlot","You can smell how well-structured the wine is. It has a blackberry and graphite thing going on on the nose, followed by a wet stone minerality. There's a meatiness to this wine as it opens up, with aromas of steak tartare on the nose. The tannins are present yet woven into the wine, the core of fruit can be felt on the palate, and the acidity is just right — letting the fruit and tannin come to the fore.",https://vinepair.com/wp-content/uploads/2021/11/btbbordeaux_card_chateaumeyney.jpg,https://vinepair.com/review/chateau-meyney/,Cabernet Sauvignon,
101,Seghesio Family Vineyards Chardonnay 2020,90,White,,2020,CaliforniaUSA,14%,$22.00,Keith Beavers,2022-05-13,"Cold Weather Hibernation,Dinner With The Parents,Impressing On A Budget","Albariño, Chardonnay , Chenin Blanc",This Chardonnay is sourced from three different climates and soil compositions to give a well-rounded California-style wine. The fruit on this wine is minimal with alcohol and oak being the upfront characteristics. There is a nice hint of agave nectar that travels to the back of your mind and hangs out all the way to the finish. The palate is creamy and soft with mild acidity bringing up the rear for a nice dose of fruit depth. They blended terroir and we say thank you.,https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-seghesio.jpg,https://vinepair.com/review/seghesio-family-vineyards-chardonnay/,Chardonnay,
102,Evening Land Vineyards Seven Springs Vineyard Chardonnay 2019,90,White,,2019,Eola-Amity HillsWillamette Valley Oregon USA,13%,$35.00,Keith Beavers,2022-05-13,"Drinking Outside the Lines,Feeling Natural,Wine And Cheese Night","Albariño, Chardonnay , Chenin Blanc","This might be one of the more unique styles of Chardonnay. Coming from the Eola-Amity Hills AVA in the Willamette Valley, it leans more into the natural wine style that's so popular today. This wine shows tropical fruit like banana runt aromas that spring from this glass. Yet there is a lovely elegance even before you sip. Generous acidity on the palate makes the wine extremely refreshing and complements its broad texture. On the finish, you will get notes of sherry and yeasty brioche.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-seven-springs.jpg,https://vinepair.com/review/evening-land-vineyards-seven-springs-vineyard-chardonnay/,Chardonnay,
103,Masseria Li Veli Torrerose Negroamaro Rosato Salento IGT 2021,90,Rosé,,2021,PugliaItaly,12.5%,$15.00,Keith Beavers,2022-05-17,"Brunch Sipping,Rosé All Day,Wine And Cheese Night","Albariño, Chardonnay , Pinot Gris / Grigio","Negroamaro is a grape native to Puglia, the heel of the Italian boot. The name translates to ""black bitter"", which is what it tastes like straight off the vine. It makes wonderful, food-friendly, medium-bodied reds with meaty, earthy fruit. As a rosé, this grape takes on a different personality. It sheds its savory vibe to reveal a spritely, super refreshing, dark pink wine. Like this one here. It retains its depth with mild acidity yet pops with complexity rivaling some casual Provence rosé.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-masseria-liveli.jpg,https://vinepair.com/review/masseria-li-veli-torrerose-negroamaro-rosato-salento-igt/,Negroamaro,
104,Gramercy Cellars Olsen Vineyard Rosé 2021,94,Rosé,"Cinsault, Grenache, Syrah / Shiraz",2021,Columbia ValleyWashington USA,13.0%,$25.00,Keith Beavers,2022-05-17,"Date Night,Picnics In The Park,Summer Sipping","Albariño, Chardonnay , Pinot Gris / Grigio","This is a rosé that has been made with care. The winemakers actually pick the grapes for this rosé separately from the grapes used for red wine. The result is a wonderful and expressive pink wine. The nose is alive with the smells of apricots and ripened strawberries and just by the nose alone, you’ll sense the concentration of fruit. On the palate, there is a very active, almost frothy acidity dancing through the wine. It promotes that good concentration of fruit and adds a creamy yogurt-like mouthfeel that is very refreshing. This bottle epitomizes the feel of rosé.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-gramercy-cellars.jpg,https://vinepair.com/review/gramercy-cellars-olsen-vineyard-rose/,,
105,Moet & Chandon Brut Rose Grand Vintage 2013,92,Sparkling White,"Chardonnay, Pinot Meunier, Pinot Noir",2013,ChampagneFrance,12.5%,$70.00,Keith Beavers,,"Asian Food,Treat Yo'self,Wine And Cheese Night","Chardonnay, Pinot Meunier , Pinot Noir","There's not a big finish to this wine (it doesn't quite linger on the palate), but it has a great saline vibe that screams for seafood. There is a slight herby/peppery note cutting through the once lush fruit. The texture is solid, with a slight grip on said palate. Go briny here. Crudo, oysters, and canapés are in order.",https://vinepair.com/wp-content/uploads/2021/12/btbchampagne_card_moet.jpg,https://vinepair.com/review/moet-chandon-brut-rose-grand-vintage/,,2021-12-22
106,Maison L'Envoye 'Straight Shooter' Pinot Noir 2019,87,Red,,2019,Willamette ValleyOregon USA,13.6%,$19.00,Keith Beavers,2021-01-21,"Host/Hostess Gifting,Sipping Without Food,Take-Out Night","Gamay, Merlot , Pinot Noir","Easy drinking and a bit lean. It smells like cherries and woodsmoke. Not a very layered wine, but for the price, it's a solid grab and go.",https://vinepair.com/wp-content/uploads/2021/01/winereview_card_straightshooter_pinotnoir.jpg,https://vinepair.com/review/maison-lenvoye-straight-shooter-pinot-noir/,Pinot Noir,
107,Seaglass Chardonnay 2020,88,White,,2020,Santa Barbara CountyCentral Coast California USA,13.5%,$12.00,Keith Beavers,2022-05-13,"All-Day Sipping,Day Trips,Popping Bottles","Albariño, Chardonnay , Chenin Blanc","Santa Barbara is well represented in this sun-soaked, vibrant, easy-drinking Chardonnay. The coastal life is alive with peaches and salted butter on the nose. The palate has refreshing acidity livening up the wine and keeping it grippy while still retaining just the right amount of brightness to make you thirsty for the next sip. To say this is a solid everyday wine would be an understatement. It delivers on every level while still being casual and under screwcap.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-seaglass.jpg,https://vinepair.com/review/seaglass-chardonnay/,Chardonnay,
108,Bottega Liquid Metals Venetian Gold Prosecco DOC NV,91,Sparkling White,,NV,ProseccoVeneto Italy,11.5%,$33.00,Keith Beavers,2022-02-15,"Brunch Sipping,Date Night,Popping Bottles","Glera, Pinot Blanc , Pinot Gris / Grigio","When you see a gleaming gold-covered bottle of bubbly you would hope that the liquid inside matches that baller vibe. And here it absolutely does. Worthy of its golden sheen, this Prosecco is mineral-driven with a creamy vibe. You may be reminded of fennel and some citrus. It’s a baller look and feel with a baller taste. If you're Mimosa-ing (it’s also great on its own) this is the wine where you drop some OJ into the bubbles not the other way around.",https://vinepair.com/wp-content/uploads/2022/02/btb-prosecco_card_bottega.jpg,https://vinepair.com/review/bottega-liquid-metals-venetian-gold-prosecco-doc/,Glera,
109,Gosset 'Grand Rose' Brut NV,91,Sparkling Rosé,"Chardonnay, Pinot Meunier, Pinot Noir",NV,ChampagneFrance,13%,$85.00,Keith Beavers,2021-12-21,"Rosé All Day,Treat Yo'self,Wine And Cheese Night","Chardonnay, Pinot Meunier , Pinot Noir","Fruity and heady with whiffs of rose petals and agave (tequila?), this wine is bright with good acidity. The bubbles bring an air of racy, jammy red fruit to the party, and the finish is a bit sour but somewhat balanced by the sweetness.",https://vinepair.com/wp-content/uploads/2021/12/btbchampagne_card_gosset.jpg,https://vinepair.com/review/gosset-grand-rose-brut/,,
110,Macari Katherine's Field Sauvignon Blanc 2020,89,White,,2020,Long IslandNew York USA,11.2%,$24.00,Keith Beavers,2022-07-19,"Cooking And Sipping,Drinking Outside the Lines,Summer Sipping","Assyrtiko, Sauvignon Blanc , Verdejo","After watching, as a kid, his grandfather make homemade wines and sell them at the bocce courts in Corona, Queens, Joe Macari started his own winery on the North Fork of Long Island. One of the pioneering wineries of the region, Macari Vineyards is still family-owned today. In 2020, they brought on Byron Elmendorf as winemaker and, with his extensive skills, continue to thrive. This stainless steel-fermented Sauvignon Blanc is the definition of crisp. The vibrant acidity makes it zesty, clean, and very focused. This is a nice introduction to North Fork Sauvignon Blanc.",https://vinepair.com/wp-content/uploads/2022/07/sauvignon-blanc-card-Macari-Katherines-Field.jpg,https://vinepair.com/review/macari-katherines-field-sauvignon-blanc/,Sauvignon Blanc,
111,Massolino Dolcetto d'Alba 2019,"92
2021 Top 50",Red,,2019,Dolcetto d'AlbaPiedmont Italy,13%,$20.00,Keith Beavers,,"Cooking And Sipping,Dinner Parties,Weekday Dinner Pairings","Dolcetto, Merlot , Pinot Noir","What a deal! Soft, juicy, and filled with aromas of blackberries and blueberries with a waft of turned soil, it has a supple palate like a good Merlot. This wine is very well-balanced, and is a great weeknight dinner companion.",https://vinepair.com/wp-content/uploads/2021/01/winereview_card_massolinodolcettodalba.jpg,https://vinepair.com/review/massolino-dolcetto-dalba/,Dolcetto,2021-11-17
112,Ca' Furlan Prosecco DOC Rosé Brut Cuvée Mariana 2020,90,Sparkling Rosé,"Pinot Noir, Glera",2020,ProseccoVeneto Italy,11.0%,$12.00,Keith Beavers,2022-06-02,"All-Day Sipping,Date Night,Popping Bottles","Chardonnay, Chenin Blanc , Pinot Noir","Pink Prosecco is a fairly new phenomenon. Sure, the region has been making it for some time now, but it wasn’t until 2020 that they made it official and put some rules on it. Since then, an ocean of rosé from the Prosecco region has been flooding our markets. It’s good stuff! Try one of the best first. This rosato has a heady nose with some ripe fruit notes and the scent of fresh goat cheese at the market. The palate is nothing less than pleasant, with the fruit calming a bit on aroma but maintaining a nice weight that is kept balanced by lively bubbles.",https://vinepair.com/wp-content/uploads/2022/02/btb-prosecco_card_cafurlan.jpg,https://vinepair.com/review/ca-furlan-prosecco-doc-rose-brut-cuvee-mariana/,,
113,Willm Kirchberg de Barr Riesling 2016,82,White,,2016,AlsaceFrance,12.5%,$17.00,Keith Beavers,,"Last Minute Wine Runs,Party Wine,Spicy Pairings","Muscat / Moscato, Pinot Gris / Grigio , Riesling","This wine is like licking wet rock, then sipping pear juice from concentrate. It’s puckering and tart, with a sweet smack in the face bordering on saccharine. It’s cheap and works as a last minute pick up for a spicy food pairing, as it will calm the heat.",https://vinepair.com/wp-content/uploads/2020/12/willmriesling2016_card.jpg,https://vinepair.com/review/willm-kirchberg-de-barr-riesling/,Riesling,2020-12-11
114,Ferrari Rosé NV,91,Sparkling Rosé,"Pinot Noir, Chardonnay",NV,Trentino-Alto AdigeItaly,12.5%,$35.00,Keith Beavers,2022-06-02,"Date Night,Starting The Night,Take-Out Night","Chardonnay, Chenin Blanc , Pinot Noir","This is a rosé bubbly hailing from the slopes and valleys of the Dolomites in northern Italy. The Lunelli family is defining the standard of this style in Trentino. They make four rosé bubblies in total, and all are wonderful. This, being their entry into the lineup, is a great place to begin enjoying the wines from Trentodoc. This wine is all about structure. It has a round and fruity nose, with an active perlage carrying the aromas to your brain. The palate is where it’s at; nice and refreshing with a slight grip and lively bubbles that give it a refreshing finish that begs for the next sip.",https://vinepair.com/wp-content/uploads/2018/02/Ferrari-Rose_card.jpg,https://vinepair.com/review/ferrari-rose/,,
115,Hyde de Villaine Hyde Vineyard Chardonnay 2017,96,White,,2017,Carneros (Napa)Napa Valley Napa County North Coast California USA,13.8%,$76.00,Keith Beavers,2021-02-11,"Special Occasion Splurges,Treat Yo'self,Winning Over the Boss","Albariño, Chardonnay , Chenin Blanc","Every layer of this wine is in harmony. The soft, buttery feels float on the palate — guided by an excellent showing of acidity lifting the wine. Aromas of fancy French butter and a whisper of caramel are even and using their inside voices. This is a quintessential American Chardonnay.",https://vinepair.com/wp-content/uploads/2021/02/winereview_card_HDV_chardonnay.jpg,https://vinepair.com/review/hyde-de-villaine-hyde-vineyard-chardonnay/,Chardonnay,
116,Penley Estate 'Phoenix' Cabernet Sauvignon 2019,92,Red,,2019,Coonawarra,14.5%,$18.00,Keith Beavers,,"Cooking And Sipping,Impressing On A Budget,Weekday Dinner Pairings","Cabernet Franc, Cabernet Sauvignon , Merlot","This is an excellent Cab with meaty mouthfeel and depth of fruit. It smells like steak tartare and blackberries. The acidity is medium, balancing the savory fruit.",https://vinepair.com/wp-content/uploads/2021/10/btbcab_card_penley.jpg,https://vinepair.com/review/penley-estate-phoenix-cabernet-sauvignon/,Cabernet Sauvignon,2021-10-19
117,Douloufakis 'Dafnios' Vidiano 2019,91,White,,2019,CreteGreece,13.7%,$17.00,Keith Beavers,,"Drinking Outside the Lines,Pleasing A Crowd,Summer Sipping","Chenin Blanc, Grüner Veltliner , Pinot Gris / Grigio","Salty and fruity with great acidity. There is a lean depth to this wine, making for a versatile food pairing wine. It’s like ripe pear sprinkled with sea salt. It would shine with a chicken salad or a pile of shellfish.",https://vinepair.com/wp-content/uploads/2020/12/dafnios_2019_card.jpg,https://vinepair.com/review/douloufakis-dafnios-vidiano-2/,Vidiano,2020-12-11
118,Louis Jadot Macon-Villages 2019,88,White,,2019,MâconnaisBurgundy France,13.5%,$14.00,Keith Beavers,2021-02-22,"Cooking And Sipping,Relaxing After Work,Wine And Cheese Night","Godello, Grüner Veltliner , Pinot Gris / Grigio","This is a round and real Chardonnay. It's unoaked and shows how satisfying the simplicity of this grape can be. Juicy and broad with moderate acidity and wafts of apples and pears, this is a great everyday white wine that will please all the palates.",https://vinepair.com/wp-content/uploads/2021/02/louis_review_card.jpg,https://vinepair.com/review/louis-jadot-macon-villages-2/,Chardonnay,
119,Laurent-Perrier Harmony Demi-Sec NV,90,Sparkling White,"Chardonnay, Pinot Meunier, Pinot Noir",NV,ChampagneFrance,12%,$47.00,Tim McKirdy,2020-12-10,"Dinner Parties,Popping Bottles,Sweet Tooth Cravings",,"More than 55 crus are used to compose this delicate Demi-Sec, with at least 10 percent reserve wines to ensure perfect consistency. Harmony is full-bodied and generous with a natural richness that doesn't verge on being too heavy. While perfect to pair alongside dessert, the palate is round and complete, meaning it can stand on its own at the end of a meal. A creamy mouthfeel accompanies notes of lemon tart with a bright acidity that leaves a light and refreshing finish.",https://vinepair.com/wp-content/uploads/2020/12/laurentperrierdemisec_card.jpg,https://vinepair.com/review/laurent-perrier-harmony-demi-sec/,,
120,Etude Grace Benoist Ranch Carneros Estate Grown Chardonnay 2019,91,White,,2019,Carneros (Napa)Napa Valley Napa County North Coast California USA,13.6%,$28.00,Keith Beavers,2022-05-13,"Dinner Parties,Treat Yo'self,Winning Over the Boss","Albariño, Chardonnay , Chenin Blanc","The cool climate of Carneros shines through in this wine. Aromas are fleeting on the nose with a quick hint of citrus fruit that disappears only to be replaced with a refreshing mineral like quality, maybe the cooling aroma of a river rock. It’s the palate that will make you swoon. There’s an underlying sweet note to this wine that has been managed almost to perfection. It adds a welcome layer to the textured weight, from the alcohol, and grip, from the wonderful natural acidity, on this very balanced wine. It’s a heady wine without oak bogging it down. This is a great example of how one of Napa and Sonoma’s coolest regions can really make an impression.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-etude.jpg,https://vinepair.com/review/etude-grace-benoist-ranch-carneros-estate-grown-chardonnay/,Chardonnay,
121,Joseph Phelps Vineyards Freestone Pinot Noir 2019,91,Red,,2019,Sonoma CoastSonoma County North Coast California USA,14.1%,$70.00,Keith Beavers,2022-03-02,"Dinner Parties,Treat Yo'self,Wine And Cheese Night",,"This winery is in love with both Napa and Sonoma. They see the potential for magic on both sides of the mountain. In Sonoma they acquired Freestone in 1999, fulfilling a Pinot dream. And we get to enjoy the fruits of their labor in this wonderful wine. It has high-ish alcohol but doesn't overwhelm. The nose is awash in good cherry cola and calm oak flavors. The palate has good natural acidity to balance the core of the fruit that wants to concentrate. This is a well-balanced wine.",https://vinepair.com/wp-content/uploads/2022/02/btbpinotnoir_card_joseph-phelps.jpg,https://vinepair.com/review/joseph-phelps-vineyards-freestone-pinot-noir/,Pinot Noir,
122,Ramey Chardonnay 2017,91,White,,2017,Russian River ValleySonoma County North Coast California USA,14.5%,$39.00,Keith Beavers,,"Date Night,Dinner With The Parents,Winter White Wine Drinking","Albariño, Chardonnay , Chenin Blanc","Rich and balanced Chardonnay, with classic roasty oak and butter tinges. It has excellent acidity, which balances the more intense characteristics. The structure of this wine is beautiful and gives respect to this style of grape.",https://vinepair.com/wp-content/uploads/2020/11/rameychardonnay_card.jpg,https://vinepair.com/review/ramey-chardonnay/,Chardonnay,2020-11-23
123,La Crema Chardonnay 2020,89,White,,2020,Sonoma CoastSonoma County North Coast California USA,13.5%,$20.00,Keith Beavers,2022-05-13,"All-Day Sipping,Cooking And Sipping,Host/Hostess Gifting","Albariño, Chardonnay , Chenin Blanc","You will find this wine pretty much everywhere. And thank the Force for that! It’s a great, affordable, any-occasion white wine and a classic Cali Chardonnay. The nose is all lemons and creamy yogurt. It’s a very welcoming waft. The palate is soft, calm and deep with the acidity in the background making sure your sips are refreshing. Cracking through that refreshment is the soft weight of a creamy mouthfeel. This is a wine you buy a case of and have on hand to sip with friends and raise eyebrows.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-la-crema.jpg,https://vinepair.com/review/la-crema-chardonnay/,Chardonnay,
124,"Famille Dubard Sauvignon Blanc ""Coeur du Mont"" 2021",89,White,,2021,Bergerac,13%,$17.00,Keith Beavers,2022-07-19,"All-Day Sipping,Dinner Parties,Impressing On A Budget","Assyrtiko, Sauvignon Blanc , Verdejo","Sauvignon Blanc is a grape that makes terroir-driven wines, and the Dubard family in Bergerac, an area that inspired the likes of Alexander Dumas, specializes in terroir-driven wines. Their Sauvignon Blanc is an uncomplicated, solid weeknight white wine for a cheese plate get-together. It has a mineral-driven nose and a palate that is creamy and crisp at the same time. It has great acidity and would pair well with some fresh goat cheese.",https://vinepair.com/wp-content/uploads/2022/07/sauvignon-blanc-card-Famille-Dubard-Sauvignon-Blanc-Coeur-du-Mont.jpg,https://vinepair.com/review/famille-dubard-sauvignon-blanc-coeur-du-mont/,Sauvignon Blanc,
